sigla_provincia;codice_istat;denominazione_ita_altra;denominazione_ita;denominazione_altra;flag_capoluogo;codice_belfiore;lat;lon;superficie_kmq;codice_sovracomunale
TO;001001;Agliè;Agliè;;NO;A074;45,3634669;7,7686057;13,2851;201
TO;001002;Airasca;Airasca;;NO;A109;44,9170061;7,4845045;15,7819;201
TO;001003;"Ala di Stura";"Ala di Stura";;NO;A117;45,3149237;7,3043670;45,7648;201
TO;001004;"Albiano d'Ivrea";"Albiano d'Ivrea";;NO;A157;45,4336463;7,9495045;11,3764;201
TO;001006;Almese;Almese;;NO;A218;45,1176654;7,3951859;17,7961;201
TO;001007;Alpette;Alpette;;NO;A221;45,4099554;7,5785615;5,4660;201
TO;001008;Alpignano;Alpignano;;NO;A222;45,0944686;7,5242628;11,9989;201
TO;001009;Andezeno;Andezeno;;NO;A275;45,0358946;7,8699281;7,4703;201
TO;001010;Andrate;Andrate;;NO;A282;45,5283724;7,8738546;9,2213;201
TO;001011;Angrogna;Angrogna;;NO;A295;44,8436082;7,2242658;38,0883;201
TO;001012;Arignano;Arignano;;NO;A405;45,0437016;7,9018970;7,9883;201
TO;001013;Avigliana;Avigliana;;NO;A518;45,0793678;7,3963516;23,5584;201
TO;001014;Azeglio;Azeglio;;NO;A525;45,4248532;7,9947436;10,0616;201
TO;001015;Bairo;Bairo;;NO;A584;45,3862699;7,7569141;6,9641;201
TO;001016;Balangero;Balangero;;NO;A587;45,2700030;7,5192683;13,0001;201
TO;001017;"Baldissero Canavese";"Baldissero Canavese";;NO;A590;45,4084019;7,7443534;4,5321;201
TO;001018;"Baldissero Torinese";"Baldissero Torinese";;NO;A591;45,0684291;7,8177989;15,8355;201
TO;001019;Balme;Balme;;NO;A599;45,3023388;7,2183609;62,9278;201
TO;001020;Banchette;Banchette;;NO;A607;45,4608248;7,8563818;1,8772;201
TO;001021;Barbania;Barbania;;NO;A625;45,2904913;7,6304781;13,3485;201
TO;001022;Bardonecchia;Bardonecchia;;NO;A651;45,0781507;6,7038976;131,5658;201
TO;001023;"Barone Canavese";"Barone Canavese";;NO;A673;45,3277288;7,8705578;4,0162;201
TO;001024;Beinasco;Beinasco;;NO;A734;45,0220788;7,5790186;6,7594;201
TO;001025;Bibiana;Bibiana;;NO;A853;44,7975980;7,2898046;18,3984;201
TO;001026;"Bobbio Pellice";"Bobbio Pellice";;NO;A910;44,8076971;7,1170209;94,6154;201
TO;001027;Bollengo;Bollengo;;NO;A941;45,4733455;7,9453007;14,3170;201
TO;001028;"Borgaro Torinese";"Borgaro Torinese";;NO;A990;45,1520050;7,6578945;11,3073;201
TO;001029;Borgiallo;Borgiallo;;NO;B003;45,4167662;7,6677454;7,0905;201
TO;001030;"Borgofranco d'Ivrea";"Borgofranco d'Ivrea";;NO;B015;45,5124142;7,8594264;13,3754;201
TO;001031;Borgomasino;Borgomasino;;NO;B021;45,3616875;7,9887949;12,1472;201
TO;001032;"Borgone Susa";"Borgone Susa";;NO;B024;45,1231172;7,2412061;4,9652;201
TO;001033;Bosconero;Bosconero;;NO;B075;45,2686534;7,7651464;11,1568;201
TO;001034;Brandizzo;Brandizzo;;NO;B121;45,1775115;7,8414393;6,2801;201
TO;001035;Bricherasio;Bricherasio;;NO;B171;44,8255744;7,3028322;22,8795;201
TO;001036;Brosso;Brosso;;NO;B205;45,4926955;7,8033171;11,0972;201
TO;001037;Brozolo;Brozolo;;NO;B209;45,1173992;8,0712843;8,9491;201
TO;001038;Bruino;Bruino;;NO;B216;45,0202276;7,4677006;5,6323;201
TO;001039;Brusasco;Brusasco;;NO;B225;45,1560453;8,0601414;14,6925;201
TO;001040;Bruzolo;Bruzolo;;NO;B232;45,1431777;7,1939889;12,2789;201
TO;001041;Buriasco;Buriasco;;NO;B278;44,8735338;7,4118721;14,9101;201
TO;001042;Burolo;Burolo;;NO;B279;45,4840947;7,9319799;5,7138;201
TO;001043;Busano;Busano;;NO;B284;45,3288942;7,6554181;5,1975;201
TO;001044;Bussoleno;Bussoleno;;NO;B297;45,1373365;7,1493898;37,1776;201
TO;001045;"Buttigliera Alta";"Buttigliera Alta";;NO;B305;45,0669813;7,4368254;8,2373;201
TO;001046;Cafasse;Cafasse;;NO;B350;45,2446575;7,5181803;10,4206;201
TO;001047;Caluso;Caluso;;NO;B435;45,3078184;7,8914899;39,4858;201
TO;001048;Cambiano;Cambiano;;NO;B462;44,9734653;7,7792962;13,7668;201
TO;001049;"Campiglione Fenile";"Campiglione Fenile";;NO;B512;44,8021531;7,3250696;11,3346;201
TO;001050;"Candia Canavese";"Candia Canavese";;NO;B588;45,3281447;7,8865424;9,1827;201
TO;001051;Candiolo;Candiolo;;NO;B592;44,9603898;7,6013874;12,3892;201
TO;001052;Canischio;Canischio;;NO;B605;45,3743281;7,5951811;11,9469;201
TO;001053;Cantalupa;Cantalupa;;NO;B628;44,9402685;7,3326819;11,3322;201
TO;001054;Cantoira;Cantoira;;NO;B637;45,3432131;7,3817884;23,1041;201
TO;001055;Caprie;Caprie;;NO;B705;45,1178288;7,3325530;16,1860;201
TO;001056;Caravino;Caravino;;NO;B733;45,3986173;7,9601459;11,4749;201
TO;001057;Carema;Carema;;NO;B762;45,5844506;7,8123537;10,3290;201
TO;001058;Carignano;Carignano;;NO;B777;44,9080171;7,6760348;49,6898;201
TO;001059;Carmagnola;Carmagnola;;NO;B791;44,8464786;7,7180847;95,5765;201
TO;001060;Casalborgone;Casalborgone;;NO;B867;45,1299488;7,9405843;20,0165;201
TO;001061;"Cascinette d'Ivrea";"Cascinette d'Ivrea";;NO;B953;45,4787767;7,9038942;2,2702;201
TO;001062;Caselette;Caselette;;NO;B955;45,1058965;7,4832283;14,0689;201
TO;001063;"Caselle Torinese";"Caselle Torinese";;NO;B960;45,1772268;7,6479830;23,8442;201
TO;001064;"Castagneto Po";"Castagneto Po";;NO;C045;45,1606279;7,8870392;11,7953;201
TO;001065;"Castagnole Piemonte";"Castagnole Piemonte";;NO;C048;44,8985413;7,5665658;17,3340;201
TO;001066;Castellamonte;Castellamonte;;NO;C133;45,3833442;7,7098255;38,6304;201
TO;001067;"Castelnuovo Nigra";"Castelnuovo Nigra";;NO;C241;45,4372093;7,6952282;28,5874;201
TO;001068;"Castiglione Torinese";"Castiglione Torinese";;NO;C307;45,1233326;7,8162459;14,4913;201
TO;001069;Cavagnolo;Cavagnolo;;NO;C369;45,1521104;8,0513851;12,3107;201
TO;001070;Cavour;Cavour;;NO;C404;44,7841236;7,3751914;48,5560;201
TO;001071;Cercenasco;Cercenasco;;NO;C487;44,8612625;7,5012234;13,3880;201
TO;001072;Ceres;Ceres;;NO;C497;45,3130672;7,3893349;27,9838;201
TO;001073;"Ceresole Reale";"Ceresole Reale";;NO;C505;45,4325151;7,2325365;100,1492;201
TO;001074;"Cesana Torinese";"Cesana Torinese";;NO;C564;44,9524243;6,7942070;121,9823;201
TO;001075;Chialamberto;Chialamberto;;NO;C604;45,3628552;7,3458800;35,6042;201
TO;001076;Chianocco;Chianocco;;NO;C610;45,1485930;7,1695443;19,0649;201
TO;001077;Chiaverano;Chiaverano;;NO;C624;45,5003948;7,9023271;11,6067;201
TO;001078;Chieri;Chieri;;NO;C627;45,0131646;7,8210215;54,3209;201
TO;001079;Chiesanuova;Chiesanuova;;NO;C629;45,4174247;7,6568511;4,2494;201
TO;001080;Chiomonte;Chiomonte;;NO;C639;45,1196670;6,9840367;26,4322;201
TO;001081;"Chiusa di San Michele";"Chiusa di San Michele";;NO;C655;45,1015733;7,3264647;5,6758;201
TO;001082;Chivasso;Chivasso;;NO;C665;45,1908493;7,8871226;51,1578;201
TO;001083;Ciconio;Ciconio;;NO;C679;45,3303533;7,7599853;3,2354;201
TO;001084;Cintano;Cintano;;NO;C711;45,4279710;7,6867646;4,8064;201
TO;001085;Cinzano;Cinzano;;NO;C715;45,0938750;7,9210939;6,3889;201
TO;001086;Ciriè;Ciriè;;NO;C722;45,2317279;7,6045879;17,5374;201
TO;001087;Claviere;Claviere;;NO;C793;44,9385626;6,7493542;2,3337;201
TO;001088;"Coassolo Torinese";"Coassolo Torinese";;NO;C801;45,3010009;7,4614939;28,0893;201
TO;001089;Coazze;Coazze;;NO;C803;45,0514171;7,2947246;56,4608;201
TO;001090;Collegno;Collegno;;NO;C860;45,0774023;7,5691576;18,0697;201
TO;001091;"Colleretto Castelnuovo";"Colleretto Castelnuovo";;NO;C867;45,4214414;7,6789845;6,2251;201
TO;001092;"Colleretto Giacosa";"Colleretto Giacosa";;NO;C868;45,4328712;7,7999950;4,5300;201
TO;001093;Condove;Condove;;NO;C955;45,1170113;7,3105314;71,4044;201
TO;001094;Corio;Corio;;NO;D008;45,3127335;7,5326020;41,4640;201
TO;001095;"Cossano Canavese";"Cossano Canavese";;NO;D092;45,3883116;7,9934226;2,9585;201
TO;001096;Cuceglio;Cuceglio;;NO;D197;45,3587593;7,8148720;6,8734;201
TO;001097;Cumiana;Cumiana;;NO;D202;44,9827474;7,3741814;61,0147;201
TO;001098;Cuorgnè;Cuorgnè;;NO;D208;45,3913262;7,6486960;19,0014;201
TO;001099;Druento;Druento;;NO;D373;45,1342731;7,5762577;27,4924;201
TO;001100;Exilles;Exilles;;NO;D433;45,0974883;6,9296051;46,3823;201
TO;001101;Favria;Favria;;NO;D520;45,3328760;7,6879370;14,7939;201
TO;001102;Feletto;Feletto;;NO;D524;45,3054802;7,7471143;8,0585;201
TO;001103;Fenestrelle;Fenestrelle;;NO;D532;45,0339532;7,0517340;49,1266;201
TO;001104;Fiano;Fiano;;NO;D562;45,2181318;7,5197510;12,2714;201
TO;001105;"Fiorano Canavese";"Fiorano Canavese";;NO;D608;45,4675874;7,8289681;4,3460;201
TO;001106;Foglizzo;Foglizzo;;NO;D646;45,2720467;7,8231524;15,5957;201
TO;001107;"Forno Canavese";"Forno Canavese";;NO;D725;45,3467729;7,5867669;16,8224;201
TO;001108;Frassinetto;Frassinetto;;NO;D781;45,4360589;7,6057321;24,9048;201
TO;001109;Front;Front;;NO;D805;45,2794926;7,6657259;10,6945;201
TO;001110;Frossasco;Frossasco;;NO;D812;44,9334809;7,3508656;20,2066;201
TO;001111;Garzigliana;Garzigliana;;NO;D931;44,8367675;7,3747354;7,0021;201
TO;001112;"Gassino Torinese";"Gassino Torinese";;NO;D933;45,1274618;7,8246237;19,7092;201
TO;001113;Germagnano;Germagnano;;NO;D983;45,2620584;7,4666277;14,5207;201
TO;001114;Giaglione;Giaglione;;NO;E009;45,1397024;7,0141191;33,7325;201
TO;001115;Giaveno;Giaveno;;NO;E020;45,0447344;7,3530799;72,1888;201
TO;001116;Givoletto;Givoletto;;NO;E067;45,1588163;7,4968477;13,0716;201
TO;001117;Gravere;Gravere;;NO;E154;45,1239955;7,0209034;19,1562;201
TO;001118;Groscavallo;Groscavallo;;NO;E199;45,3688981;7,2823768;92,4039;201
TO;001119;Grosso;Grosso;;NO;E203;45,2578068;7,5582660;4,0804;201
TO;001120;Grugliasco;Grugliasco;;NO;E216;45,0619938;7,5777858;13,3302;201
TO;001121;Ingria;Ingria;;NO;E301;45,4661534;7,5708119;15,1419;201
TO;001122;"Inverso Pinasca";"Inverso Pinasca";;NO;E311;44,9471112;7,2159869;8,3362;201
TO;001123;Isolabella;Isolabella;;NO;E345;44,9066201;7,9093993;4,8204;201
TO;001124;Issiglio;Issiglio;;NO;E368;45,4468372;7,7540952;5,5578;201
TO;001125;Ivrea;Ivrea;;NO;E379;45,4662336;7,8759117;30,1764;201
TO;001126;"La Cassa";"La Cassa";;NO;E394;45,1818170;7,5191053;11,6863;201
TO;001127;"La Loggia";"La Loggia";;NO;E423;44,9566817;7,6676999;12,8209;201
TO;001128;"Lanzo Torinese";"Lanzo Torinese";;NO;E445;45,2722552;7,4765958;10,3254;201
TO;001129;Lauriano;Lauriano;;NO;E484;45,1584257;7,9915852;14,3505;201
TO;001130;Leini;Leini;;NO;E518;45,1839595;7,7149873;32,4340;201
TO;001131;Lemie;Lemie;;NO;E520;45,2286823;7,2927537;45,1647;201
TO;001132;Lessolo;Lessolo;;NO;E551;45,4757766;7,8140443;8,0748;201
TO;001133;Levone;Levone;;NO;E566;45,3181626;7,6059193;5,4728;201
TO;001134;Locana;Locana;;NO;E635;45,4169171;7,4617755;132,6817;201
TO;001135;Lombardore;Lombardore;;NO;E660;45,2356416;7,7362896;12,4279;201
TO;001136;Lombriasco;Lombriasco;;NO;E661;44,8416798;7,6359489;7,8184;201
TO;001137;Loranzè;Loranzè;;NO;E683;45,4413818;7,8110524;4,3933;201
TO;001139;"Luserna San Giovanni";"Luserna San Giovanni";;NO;E758;44,8144535;7,2460158;17,7257;201
TO;001140;Lusernetta;Lusernetta;;NO;E759;44,8026038;7,2497624;7,3193;201
TO;001141;Lusigliè;Lusigliè;;NO;E763;45,3185725;7,7664656;5,0745;201
TO;001142;Macello;Macello;;NO;E782;44,8511813;7,4008373;14,5331;201
TO;001143;Maglione;Maglione;;NO;E817;45,3476727;8,0117232;6,5959;201
TO;001144;Marentino;Marentino;;NO;E941;45,0580474;7,8733109;11,2688;201
TO;001145;Massello;Massello;;NO;F041;44,9585084;7,0570144;37,7550;201
TO;001146;Mathi;Mathi;;NO;F053;45,2567508;7,5411799;7,1887;201
TO;001147;Mattie;Mattie;;NO;F058;45,1188218;7,1120177;28,4519;201
TO;001148;Mazzè;Mazzè;;NO;F067;45,2985603;7,9368307;26,7151;201
TO;001149;"Meana di Susa";"Meana di Susa";;NO;F074;45,1210435;7,0684893;16,0565;201
TO;001150;Mercenasco;Mercenasco;;NO;F140;45,3570306;7,8826050;12,7071;201
TO;001152;Mezzenile;Mezzenile;;NO;F182;45,2923447;7,3949146;29,2463;201
TO;001153;"Mombello di Torino";"Mombello di Torino";;NO;F315;45,0463613;7,9195538;3,9839;201
TO;001154;Mompantero;Mompantero;;NO;F318;45,1399475;7,0580018;30,0217;201
TO;001155;"Monastero di Lanzo";"Monastero di Lanzo";;NO;F327;45,3014494;7,4391173;17,6403;201
TO;001156;Moncalieri;Moncalieri;;NO;F335;45,0009565;7,6853163;47,6714;201
TO;001157;Moncenisio;Moncenisio;;NO;D553;45,2052427;6,9835832;4,4698;201
TO;001158;"Montaldo Torinese";"Montaldo Torinese";;NO;F407;45,0663754;7,8509022;4,6029;201
TO;001159;Montalenghe;Montalenghe;;NO;F411;45,3377012;7,8397746;6,7924;201
TO;001160;"Montalto Dora";"Montalto Dora";;NO;F420;45,4938030;7,8640930;7,2053;201
TO;001161;Montanaro;Montanaro;;NO;F422;45,2329277;7,8528765;21,0203;201
TO;001162;"Monteu da Po";"Monteu da Po";;NO;F651;45,1504808;8,0147719;7,3377;201
TO;001163;"Moriondo Torinese";"Moriondo Torinese";;NO;F733;45,0390345;7,9440562;6,6651;201
TO;001164;Nichelino;Nichelino;;NO;F889;44,9951033;7,6475753;20,8744;201
TO;001165;Noasca;Noasca;;NO;F906;45,4542767;7,3147200;78,3834;201
TO;001166;Nole;Nole;;NO;F925;45,2421626;7,5745341;11,2327;201
TO;001167;Nomaglio;Nomaglio;;NO;F927;45,5351902;7,8597546;2,9800;201
TO;001168;None;None;;NO;F931;44,9323135;7,5412404;24,2852;201
TO;001169;Novalesa;Novalesa;;NO;F948;45,1875238;7,0146266;28,9723;201
TO;001170;Oglianico;Oglianico;;NO;G010;45,3426372;7,6927590;6,3142;201
TO;001171;Orbassano;Orbassano;;NO;G087;45,0070492;7,5369689;22,0239;201
TO;001172;"Orio Canavese";"Orio Canavese";;NO;G109;45,3284705;7,8603204;7,0394;201
TO;001173;Osasco;Osasco;;NO;G151;44,8494947;7,3429993;5,7101;201
TO;001174;Osasio;Osasio;;NO;G152;44,8694831;7,6076093;4,5585;201
TO;001175;Oulx;Oulx;;NO;G196;45,0312715;6,8322431;99,3694;201
TO;001176;Ozegna;Ozegna;;NO;G202;45,3489931;7,7432096;5,3096;201
TO;001177;"Palazzo Canavese";"Palazzo Canavese";;NO;G262;45,4577007;7,9782036;5,2005;201
TO;001178;Pancalieri;Pancalieri;;NO;G303;44,8304877;7,5881886;14,8484;201
TO;001179;Parella;Parella;;NO;G330;45,4300035;7,7909823;2,7868;201
TO;001180;Pavarolo;Pavarolo;;NO;G387;45,0686502;7,8352060;4,4215;201
TO;001181;"Pavone Canavese";"Pavone Canavese";;NO;G392;45,4352456;7,8539878;11,5591;201
TO;001183;"Pecetto Torinese";"Pecetto Torinese";;NO;G398;45,0185761;7,7486286;9,2766;201
TO;001184;"Perosa Argentina";"Perosa Argentina";;NO;G463;44,9581802;7,1922752;26,2702;201
TO;001185;"Perosa Canavese";"Perosa Canavese";;NO;G462;45,3971383;7,8292811;4,7546;201
TO;001186;Perrero;Perrero;;NO;G465;44,9374383;7,1152518;63,1215;201
TO;001187;Pertusio;Pertusio;;NO;G477;45,3532858;7,6388871;4,1870;201
TO;001188;Pessinetto;Pessinetto;;NO;G505;45,2905289;7,4028414;5,5661;201
TO;001189;Pianezza;Pianezza;;NO;G559;45,1007066;7,5465646;16,6439;201
TO;001190;Pinasca;Pinasca;;NO;G672;44,9426379;7,2277062;34,5324;201
TO;001191;Pinerolo;Pinerolo;;NO;G674;44,8873333;7,3320503;49,6989;201
TO;001192;"Pino Torinese";"Pino Torinese";;NO;G678;45,0434900;7,7721855;21,7008;201
TO;001193;"Piobesi Torinese";"Piobesi Torinese";;NO;G684;44,9330906;7,6119242;19,2796;201
TO;001194;Piossasco;Piossasco;;NO;G691;44,9906200;7,4626508;40,3224;201
TO;001195;Piscina;Piscina;;NO;G705;44,9194511;7,4259070;9,9335;201
TO;001196;Piverone;Piverone;;NO;G719;45,4475126;8,0070956;11,0364;201
TO;001197;Poirino;Poirino;;NO;G777;44,9211226;7,8436611;75,8895;201
TO;001198;Pomaretto;Pomaretto;;NO;G805;44,9550893;7,1821205;8,4315;201
TO;001199;"Pont Canavese";"Pont Canavese";;NO;G826;45,4207259;7,5937483;18,3633;201
TO;001200;Porte;Porte;;NO;G900;44,8876041;7,2680289;4,6894;201
TO;001201;Pragelato;Pragelato;;NO;G973;45,0162815;6,9423638;88,7218;201
TO;001202;Prali;Prali;;NO;G978;44,8892028;7,0487925;72,1546;201
TO;001203;Pralormo;Pralormo;;NO;G979;44,8613363;7,9006551;29,8292;201
TO;001204;Pramollo;Pramollo;;NO;G982;44,9044962;7,2116611;22,5516;201
TO;001205;Prarostino;Prarostino;;NO;G986;44,8657846;7,2698904;11,2938;201
TO;001206;Prascorsano;Prascorsano;;NO;G988;45,3676358;7,6157409;6,0653;201
TO;001207;Pratiglione;Pratiglione;;NO;G997;45,3537235;7,5961516;8,2528;201
TO;001208;Quagliuzzo;Quagliuzzo;;NO;H100;45,4264676;7,7818622;1,9251;201
TO;001209;Quassolo;Quassolo;;NO;H120;45,5248927;7,8326743;3,8983;201
TO;001210;Quincinetto;Quincinetto;;NO;H127;45,5609053;7,8058246;17,5365;201
TO;001211;Reano;Reano;;NO;H207;45,0518058;7,4295710;6,9534;201
TO;001212;Ribordone;Ribordone;;NO;H270;45,4315947;7,5023903;43,5279;201
TO;001213;Rivalba;Rivalba;;NO;H333;45,1187242;7,8872327;10,5637;201
TO;001214;"Rivalta di Torino";"Rivalta di Torino";;NO;H335;45,0345702;7,5233376;25,3306;201
TO;001215;"Riva presso Chieri";"Riva presso Chieri";;NO;H337;44,9862982;7,8689799;35,8375;201
TO;001216;Rivara;Rivara;;NO;H338;45,3323205;7,6251090;11,9024;201
TO;001217;"Rivarolo Canavese";"Rivarolo Canavese";;NO;H340;45,3326602;7,7253461;32,0715;201
TO;001218;Rivarossa;Rivarossa;;NO;H344;45,2512937;7,7171498;10,9702;201
TO;001219;Rivoli;Rivoli;;NO;H355;45,0701331;7,5338280;29,1311;201
TO;001220;Robassomero;Robassomero;;NO;H367;45,1999976;7,5702295;8,5649;201
TO;001221;"Rocca Canavese";"Rocca Canavese";;NO;H386;45,3091428;7,5789708;14,0022;201
TO;001222;Roletto;Roletto;;NO;H498;44,9251935;7,3306731;9,8640;201
TO;001223;"Romano Canavese";"Romano Canavese";;NO;H511;45,3913153;7,8678554;11,1183;201
TO;001224;"Ronco Canavese";"Ronco Canavese";;NO;H539;45,4994480;7,5456181;96,4884;201
TO;001225;Rondissone;Rondissone;;NO;H547;45,2466423;7,9656188;11,3726;201
TO;001226;Rorà;Rorà;;NO;H554;44,7926007;7,1975782;12,4685;201
TO;001227;Roure;Roure;;NO;H555;45,0009970;7,1291240;59,2903;201
TO;001228;Rosta;Rosta;;NO;H583;45,0713368;7,4640422;8,8148;201
TO;001229;Rubiana;Rubiana;;NO;H627;45,1391657;7,3824508;26,7647;201
TO;001230;Rueglio;Rueglio;;NO;H631;45,4678999;7,7558044;14,9653;201
TO;001231;Salassa;Salassa;;NO;H691;45,3596256;7,6893394;5,1537;201
TO;001232;Salbertrand;Salbertrand;;NO;H684;45,0723272;6,8836766;39,1056;201
TO;001233;"Salerano Canavese";"Salerano Canavese";;NO;H702;45,4564496;7,8498869;2,3296;201
TO;001234;"Salza di Pinerolo";"Salza di Pinerolo";;NO;H734;44,9406925;7,0530248;15,9322;201
TO;001235;Samone;Samone;;NO;H753;45,4493270;7,8457639;2,2899;201
TO;001236;"San Benigno Canavese";"San Benigno Canavese";;NO;H775;45,2240048;7,7826941;22,2756;201
TO;001237;"San Carlo Canavese";"San Carlo Canavese";;NO;H789;45,2481463;7,6102029;21,0521;201
TO;001238;"San Colombano Belmonte";"San Colombano Belmonte";;NO;H804;45,3819260;7,6183219;3,5568;201
TO;001239;"San Didero";"San Didero";;NO;H820;45,1351318;7,2151984;3,3356;201
TO;001240;"San Francesco al Campo";"San Francesco al Campo";;NO;H847;45,2255513;7,6556645;15,1328;201
TO;001241;Sangano;Sangano;;NO;H855;45,0262148;7,4504772;6,5370;201
TO;001242;"San Germano Chisone";"San Germano Chisone";;NO;H862;44,8986733;7,2408642;15,5514;201
TO;001243;"San Gillio";"San Gillio";;NO;H873;45,1420013;7,5338675;8,8670;201
TO;001244;"San Giorgio Canavese";"San Giorgio Canavese";;NO;H890;45,3355763;7,7941640;19,9542;201
TO;001245;"San Giorio di Susa";"San Giorio di Susa";;NO;H900;45,1283968;7,1775082;19,8007;201
TO;001246;"San Giusto Canavese";"San Giusto Canavese";;NO;H936;45,3123452;7,8082940;9,8469;201
TO;001247;"San Martino Canavese";"San Martino Canavese";;NO;H997;45,3944869;7,8183919;9,9176;201
TO;001248;"San Maurizio Canavese";"San Maurizio Canavese";;NO;I024;45,2189815;7,6306847;17,3199;201
TO;001249;"San Mauro Torinese";"San Mauro Torinese";;NO;I030;45,1030232;7,7663607;12,3459;201
TO;001250;"San Pietro Val Lemina";"San Pietro Val Lemina";;NO;I090;44,9073306;7,3135293;11,8959;201
TO;001251;"San Ponso";"San Ponso";;NO;I126;45,3508451;7,6675594;1,7099;201
TO;001252;"San Raffaele Cimena";"San Raffaele Cimena";;NO;I137;45,1472202;7,8487635;11,4216;201
TO;001253;"San Sebastiano da Po";"San Sebastiano da Po";;NO;I152;45,1664892;7,9535600;16,4722;201
TO;001254;"San Secondo di Pinerolo";"San Secondo di Pinerolo";;NO;I154;44,8667166;7,2986813;12,1469;201
TO;001255;"Sant'Ambrogio di Torino";"Sant'Ambrogio di Torino";;NO;I258;45,0996162;7,3591937;8,4420;201
TO;001256;"Sant'Antonino di Susa";"Sant'Antonino di Susa";;NO;I296;45,1071794;7,2735256;9,9578;201
TO;001257;Santena;Santena;;NO;I327;44,9488433;7,7725028;16,5605;201
TO;001258;"Sauze di Cesana";"Sauze di Cesana";;NO;I465;44,9404219;6,8605526;78,3520;201
TO;001259;"Sauze d'Oulx";"Sauze d'Oulx";;NO;I466;45,0280988;6,8582554;17,8944;201
TO;001260;Scalenghe;Scalenghe;;NO;I490;44,8883292;7,4979651;31,5104;201
TO;001261;Scarmagno;Scarmagno;;NO;I511;45,3858210;7,8408965;7,9133;201
TO;001262;Sciolze;Sciolze;;NO;I539;45,0950139;7,8776455;11,6205;201
TO;001263;Sestriere;Sestriere;;NO;I692;44,9576328;6,8764939;26,3869;201
TO;001264;"Settimo Rottaro";"Settimo Rottaro";;NO;I701;45,4048986;7,9922828;6,5062;201
TO;001265;"Settimo Torinese";"Settimo Torinese";;NO;I703;45,1369502;7,7712554;31,0922;201
TO;001266;"Settimo Vittone";"Settimo Vittone";;NO;I702;45,5461989;7,8343565;23,4503;201
TO;001267;Sparone;Sparone;;NO;I886;45,4133082;7,5442450;29,9184;201
TO;001268;Strambinello;Strambinello;;NO;I969;45,4233819;7,7687468;2,0326;201
TO;001269;Strambino;Strambino;;NO;I970;45,3846248;7,8806770;22,5015;201
TO;001270;Susa;Susa;;NO;L013;45,1352774;7,0464163;11,1170;201
TO;001271;Tavagnasco;Tavagnasco;;NO;L066;45,5431713;7,8225983;8,4778;201
TO;001272;Torino;Torino;;SI;L219;45,0732891;7,6806958;130,1136;201
TO;001273;"Torrazza Piemonte";"Torrazza Piemonte";;NO;L238;45,2151575;7,9748498;9,9259;201
TO;001274;"Torre Canavese";"Torre Canavese";;NO;L247;45,3918129;7,7605986;5,3874;201
TO;001275;"Torre Pellice";"Torre Pellice";;NO;L277;44,8208762;7,2236356;21,5010;201
TO;001276;Trana;Trana;;NO;L327;45,0370807;7,4173159;15,9389;201
TO;001278;Traversella;Traversella;;NO;L345;45,5089979;7,7497482;39,1388;201
TO;001279;Traves;Traves;;NO;L340;45,2705658;7,4297647;10,3164;201
TO;001280;Trofarello;Trofarello;;NO;L445;44,9859394;7,7401159;12,1065;201
TO;001281;Usseaux;Usseaux;;NO;L515;45,0490316;7,0279473;38,8945;201
TO;001282;Usseglio;Usseglio;;NO;L516;45,2326695;7,2172473;98,6692;201
TO;001283;Vaie;Vaie;;NO;L538;45,1019442;7,2864963;7,2672;201
TO;001284;"Val della Torre";"Val della Torre";;NO;L555;45,1555681;7,4494082;36,6004;201
TO;001285;Valgioie;Valgioie;;NO;L578;45,0759732;7,3399975;8,8914;201
TO;001286;"Vallo Torinese";"Vallo Torinese";;NO;L629;45,2234604;7,4992399;6,0158;201
TO;001287;Valperga;Valperga;;NO;L644;45,3699160;7,6567710;11,8088;201
TO;001288;"Valprato Soana";"Valprato Soana";;NO;B510;45,5223756;7,5489749;71,8442;201
TO;001289;Varisella;Varisella;;NO;L685;45,2101015;7,4894240;22,3967;201
TO;001290;"Vauda Canavese";"Vauda Canavese";;NO;L698;45,2794046;7,6181679;6,8323;201
TO;001291;Venaus;Venaus;;NO;L726;45,1547379;7,0119549;18,7482;201
TO;001292;"Venaria Reale";"Venaria Reale";;NO;L727;45,1325369;7,6315017;20,3418;201
TO;001293;Verolengo;Verolengo;;NO;L779;45,1902431;7,9699124;28,8725;201
TO;001294;"Verrua Savoia";"Verrua Savoia";;NO;L787;45,1565984;8,0931009;31,5716;201
TO;001295;Vestignè;Vestignè;;NO;L811;45,3866525;7,9538495;11,9661;201
TO;001296;Vialfrè;Vialfrè;;NO;L830;45,3808825;7,8182154;4,8147;201
TO;001298;Vidracco;Vidracco;;NO;L857;45,4303825;7,7589086;3,2048;201
TO;001299;Vigone;Vigone;;NO;L898;44,8421351;7,4945610;40,6245;201
TO;001300;"Villafranca Piemonte";"Villafranca Piemonte";;NO;L948;44,7810234;7,5044919;51,5050;201
TO;001301;"Villanova Canavese";"Villanova Canavese";;NO;L982;45,2428035;7,5540469;4,1527;201
TO;001302;Villarbasse;Villarbasse;;NO;M002;45,0449369;7,4679776;10,5132;201
TO;001303;"Villar Dora";"Villar Dora";;NO;L999;45,1177944;7,3838021;5,6842;201
TO;001304;Villareggia;Villareggia;;NO;M004;45,3109562;7,9784647;11,8894;201
TO;001305;"Villar Focchiardo";"Villar Focchiardo";;NO;M007;45,1096556;7,2265811;25,5991;201
